,Name,Elo,GXE,Glicko-1,usernames,ladder_url,Unnamed: 5
1925,MrTrippyslipnfal,1726,70.4%,1664 ± 43,mrtrippyslipnfal,https://pokemonshowdown.com/ladder/gen9ou,
1926,Jifou,1726,69.6%,1656 ± 29,jifou,https://pokemonshowdown.com/ladder/gen9ou,
1927,lord cube,1726,78.8%,1749 ± 43,lordcube,https://pokemonshowdown.com/ladder/gen9ou,
1928,Iron Moths,1726,71.4%,1673 ± 26,ironmoths,https://pokemonshowdown.com/ladder/gen9ou,
1929,OD in Paris,1726,78.0%,1739 ± 40,odinparis,https://pokemonshowdown.com/ladder/gen9ou,
1930,silver snow story,1726,80.2%,1765 ± 40,silversnowstory,https://pokemonshowdown.com/ladder/gen9ou,
1931,yungtoasterbread,1726,74.7%,1705 ± 36,yungtoasterbread,https://pokemonshowdown.com/ladder/gen9ou,
1932,BIG FOONGUZ,1725,82.5%,1794 ± 50,bigfoonguz,https://pokemonshowdown.com/ladder/gen9ou,
1933,mausfold,1725,82.8%,1798 ± 52,mausfold,https://pokemonshowdown.com/ladder/gen9ou,
1934,Scrantonicity II,1725,71.1%,1670 ± 25,scrantonicityii,https://pokemonshowdown.com/ladder/gen9ou,
1935,farigirafarigiraf,1724,83.9%,1815 ± 59,farigirafarigiraf,https://pokemonshowdown.com/ladder/gen9ou,
1936,blue tanos,1724,78.4%,1744 ± 45,bluetanos,https://pokemonshowdown.com/ladder/gen9ou,
1937,babydeen,1724,74.3%,1701 ± 43,babydeen,https://pokemonshowdown.com/ladder/gen9ou,
1938,PQPP215,1723,73.9%,1697 ± 40,pqpp215,https://pokemonshowdown.com/ladder/gen9ou,
1939,Turn 2,1723,67.0%,1633 ± 28,turn2,https://pokemonshowdown.com/ladder/gen9ou,
1940,Daniel Gaming 234,1723,67.8%,1640 ± 27,danielgaming234,https://pokemonshowdown.com/ladder/gen9ou,
1941,KING ATILLART,1723,82.7%,1796 ± 36,kingatillart,https://pokemonshowdown.com/ladder/gen9ou,
1942,jst so u remeber,1723,74.9%,1706 ± 26,jstsouremeber,https://pokemonshowdown.com/ladder/gen9ou,
1943,braingoop,1722,71.3%,1672 ± 35,braingoop,https://pokemonshowdown.com/ladder/gen9ou,
1944,SPRIIKO,1722,71.3%,1671 ± 25,spriiko,https://pokemonshowdown.com/ladder/gen9ou,
1945,CONSTANT REPEAT 7,1722,77.9%,1739 ± 45,constantrepeat7,https://pokemonshowdown.com/ladder/gen9ou,
1946,metagrossistheboss,1722,76.8%,1726 ± 31,metagrossistheboss,https://pokemonshowdown.com/ladder/gen9ou,
1947,MoyashiISstupid,1722,69.2%,1653 ± 31,moyashiisstupid,https://pokemonshowdown.com/ladder/gen9ou,
1948,RAIHAN_SHADOW,1722,70.1%,1661 ± 34,raihanshadow,https://pokemonshowdown.com/ladder/gen9ou,
1949,Nirvada2000,1722,73.6%,1694 ± 42,nirvada2000,https://pokemonshowdown.com/ladder/gen9ou,
1950,Kage UwU,1721,66.8%,1632 ± 29,kageuwu,https://pokemonshowdown.com/ladder/gen9ou,
1951,Grand Theft Rotom,1721,77.9%,1739 ± 45,grandtheftrotom,https://pokemonshowdown.com/ladder/gen9ou,
1952,Ashfak,1721,68.4%,1645 ± 30,ashfak,https://pokemonshowdown.com/ladder/gen9ou,
1953,8EggsEaston,1721,71.5%,1674 ± 36,8eggseaston,https://pokemonshowdown.com/ladder/gen9ou,
1954,AikonZ_Test,1721,72.3%,1681 ± 31,aikonztest,https://pokemonshowdown.com/ladder/gen9ou,
1955,DawoblefetFanclub,1720,74.7%,1705 ± 46,dawoblefetfanclub,https://pokemonshowdown.com/ladder/gen9ou,
1956,blazin benny,1720,75.7%,1715 ± 42,blazinbenny,https://pokemonshowdown.com/ladder/gen9ou,
1957,AgencyIsOwn,1720,80.0%,1761 ± 26,agencyisown,https://pokemonshowdown.com/ladder/gen9ou,
1958,someidiot☆19,1719,76.3%,1720 ± 36,someidiot19,https://pokemonshowdown.com/ladder/gen9ou,
1959,ovalboi,1719,66.6%,1630 ± 29,ovalboi,https://pokemonshowdown.com/ladder/gen9ou,
1960,Medea26,1719,68.7%,1648 ± 32,medea26,https://pokemonshowdown.com/ladder/gen9ou,
1961,fk3294024,1719,76.7%,1726 ± 45,fk3294024,https://pokemonshowdown.com/ladder/gen9ou,
1962,sumofsquares,1719,70.8%,1667 ± 26,sumofsquares,https://pokemonshowdown.com/ladder/gen9ou,
1963,HaxIsRuiningStrats,1719,72.0%,1678 ± 37,haxisruiningstrats,https://pokemonshowdown.com/ladder/gen9ou,
1964,Marlingl,1719,72.6%,1684 ± 39,marlingl,https://pokemonshowdown.com/ladder/gen9ou,
1965,SebusWebus,1719,74.8%,1705 ± 30,sebuswebus,https://pokemonshowdown.com/ladder/gen9ou,
1966,QuagsiresOU,1719,71.7%,1676 ± 39,quagsiresou,https://pokemonshowdown.com/ladder/gen9ou,
1967,nattyvirus,1718,76.6%,1724 ± 36,nattyvirus,https://pokemonshowdown.com/ladder/gen9ou,
1968,MasterJ007,1718,72.6%,1684 ± 26,masterj007,https://pokemonshowdown.com/ladder/gen9ou,
1969,gaylord weiner,1718,77.3%,1732 ± 42,gaylordweiner,https://pokemonshowdown.com/ladder/gen9ou,
1970,World is crazy,1718,78.5%,1745 ± 31,worldiscrazy,https://pokemonshowdown.com/ladder/gen9ou,
1971,ppev,1717,73.1%,1689 ± 35,ppev,https://pokemonshowdown.com/ladder/gen9ou,
1972,the sun tester,1717,68.2%,1644 ± 37,thesuntester,https://pokemonshowdown.com/ladder/gen9ou,
1973,Leftiez,1717,74.0%,1697 ± 32,leftiez,https://pokemonshowdown.com/ladder/gen9ou,
1974,Kiado Kublai,1717,73.0%,1688 ± 36,kiadokublai,https://pokemonshowdown.com/ladder/gen9ou,
1975,p$ychopath,1717,77.0%,1728 ± 25,pychopath,https://pokemonshowdown.com/ladder/gen9ou,
1976,PilarFogliati stan,1716,74.3%,1700 ± 35,pilarfogliatistan,https://pokemonshowdown.com/ladder/gen9ou,
1977,scarecrowuknow,1716,69.9%,1659 ± 35,scarecrowuknow,https://pokemonshowdown.com/ladder/gen9ou,
1978,Cecilicious,1716,83.4%,1807 ± 60,cecilicious,https://pokemonshowdown.com/ladder/gen9ou,
1979,Stereokuma,1716,69.5%,1656 ± 38,stereokuma,https://pokemonshowdown.com/ladder/gen9ou,
1980,Broloom Meta,1716,72.6%,1685 ± 42,broloommeta,https://pokemonshowdown.com/ladder/gen9ou,
1981,Apollonas77,1716,72.8%,1686 ± 29,apollonas77,https://pokemonshowdown.com/ladder/gen9ou,
1982,J3nyGitGud,1716,69.8%,1658 ± 27,j3nygitgud,https://pokemonshowdown.com/ladder/gen9ou,
1983,PTKMOEKYUUN,1716,68.5%,1646 ± 26,ptkmoekyuun,https://pokemonshowdown.com/ladder/gen9ou,
1984,The last book,1716,71.4%,1673 ± 40,thelastbook,https://pokemonshowdown.com/ladder/gen9ou,
1985,phyviocow,1715,64.7%,1614 ± 25,phyviocow,https://pokemonshowdown.com/ladder/gen9ou,
1986,Goatarded,1715,73.2%,1690 ± 42,goatarded,https://pokemonshowdown.com/ladder/gen9ou,
1987,AjonymousNon,1715,74.2%,1701 ± 47,ajonymousnon,https://pokemonshowdown.com/ladder/gen9ou,
1988,shy lil frog,1715,76.1%,1720 ± 46,shylilfrog,https://pokemonshowdown.com/ladder/gen9ou,
1989,Q'Unknown,1715,74.2%,1701 ± 44,qunknown,https://pokemonshowdown.com/ladder/gen9ou,
1990,TuryWTF,1715,67.8%,1640 ± 32,turywtf,https://pokemonshowdown.com/ladder/gen9ou,
1991,RubenPaCe,1714,75.2%,1710 ± 43,rubenpace,https://pokemonshowdown.com/ladder/gen9ou,
1992,LawyerShawn,1714,71.0%,1669 ± 26,lawyershawn,https://pokemonshowdown.com/ladder/gen9ou,
1993,MyBALLstiff,1714,71.0%,1669 ± 40,myballstiff,https://pokemonshowdown.com/ladder/gen9ou,
1994,PQPP214,1714,74.3%,1701 ± 29,pqpp214,https://pokemonshowdown.com/ladder/gen9ou,
1995,GrindrInChat,1714,78.6%,1747 ± 44,grindrinchat,https://pokemonshowdown.com/ladder/gen9ou,
1996,Eutychios,1714,73.2%,1690 ± 25,eutychios,https://pokemonshowdown.com/ladder/gen9ou,
1997,SO88,1714,65.7%,1623 ± 26,so88,https://pokemonshowdown.com/ladder/gen9ou,
1998,Pkm Trainer Yellow,1714,70.7%,1667 ± 41,pkmtraineryellow,https://pokemonshowdown.com/ladder/gen9ou,
1999,joshuacena23,1714,71.4%,1673 ± 35,joshuacena23,https://pokemonshowdown.com/ladder/gen9ou,
2000,ox04,1779,89.7%,1908 ± 30,ox04,https://pokemonshowdown.com/ladder/gen9ubers,
2001,OJ Did It,1758,89.4%,1903 ± 38,ojdidit,https://pokemonshowdown.com/ladder/gen9ubers,
2002,Yuki Endeavor,1750,83.5%,1805 ± 28,yukiendeavor,https://pokemonshowdown.com/ladder/gen9ubers,
2003,RichardMillePlain,1742,88.7%,1889 ± 30,richardmilleplain,https://pokemonshowdown.com/ladder/gen9ubers,
2004,Stallion,1715,87.8%,1873 ± 28,stallion,https://pokemonshowdown.com/ladder/gen9ubers,
2005,TeraIsoDumb,1661,86.2%,1847 ± 47,teraisodumb,https://pokemonshowdown.com/ladder/gen9ubers,
2006,Billionaire58,1657,80.5%,1768 ± 29,billionaire58,https://pokemonshowdown.com/ladder/gen9ubers,
2007,bernarddd,1653,83.3%,1803 ± 25,bernarddd,https://pokemonshowdown.com/ladder/gen9ubers,
2008,little lulu1216小鲁鲁,1648,85.6%,1837 ± 44,littlelulu1216,https://pokemonshowdown.com/ladder/gen9ubers,
2009,Dr.bernardd jr.,1646,84.0%,1813 ± 35,drbernarddjr,https://pokemonshowdown.com/ladder/gen9ubers,
2010,Dark★Shionツ,1641,81.8%,1783 ± 27,darkshion,https://pokemonshowdown.com/ladder/gen9ubers,
2011,entrocefalo,1639,87.1%,1862 ± 43,entrocefalo,https://pokemonshowdown.com/ladder/gen9ubers,
2012,Japan,1635,83.5%,1805 ± 32,japan,https://pokemonshowdown.com/ladder/gen9ubers,
2013,sillyblishuiwyj,1625,85.8%,1841 ± 52,sillyblishuiwyj,https://pokemonshowdown.com/ladder/gen9ubers,
2014,neptune732,1624,82.8%,1797 ± 36,neptune732,https://pokemonshowdown.com/ladder/gen9ubers,
2015,Takatk,1624,83.6%,1806 ± 28,takatk,https://pokemonshowdown.com/ladder/gen9ubers,
2016,OreoSpeedruns,1622,85.5%,1834 ± 25,oreospeedruns,https://pokemonshowdown.com/ladder/gen9ubers,
2017,Cherbou,1617,81.2%,1776 ± 34,cherbou,https://pokemonshowdown.com/ladder/gen9ubers,
2018,rookierobbie,1615,78.9%,1749 ± 25,rookierobbie,https://pokemonshowdown.com/ladder/gen9ubers,
2019,KyogreF4N,1603,86.1%,1848 ± 59,kyogref4n,https://pokemonshowdown.com/ladder/gen9ubers,
2020,ewqqw,1601,85.5%,1839 ± 56,ewqqw,https://pokemonshowdown.com/ladder/gen9ubers,
2021,Ryriss,1600,78.6%,1747 ± 42,ryriss,https://pokemonshowdown.com/ladder/gen9ubers,
2022,Noire10086,1597,89.2%,1907 ± 74,noire10086,https://pokemonshowdown.com/ladder/gen9ubers,
2023,I luv standard bs,1596,83.3%,1805 ± 50,iluvstandardbs,https://pokemonshowdown.com/ladder/gen9ubers,
2024,jushu1,1596,87.6%,1870 ± 43,jushu1,https://pokemonshowdown.com/ladder/gen9ubers,
2025,mad at baths,1595,87.5%,1872 ± 63,madatbaths,https://pokemonshowdown.com/ladder/gen9ubers,
2026,left-lovers,1594,83.2%,1803 ± 44,leftlovers,https://pokemonshowdown.com/ladder/gen9ubers,
2027,ImDoneThrowing,1593,85.6%,1840 ± 54,imdonethrowing,https://pokemonshowdown.com/ladder/gen9ubers,
2028,LsicoCisr,1593,80.6%,1771 ± 51,lsicocisr,https://pokemonshowdown.com/ladder/gen9ubers,
2029,kaifengyyds,1593,85.8%,1841 ± 47,kaifengyyds,https://pokemonshowdown.com/ladder/gen9ubers,
2030,bbghdy,1593,87.4%,1870 ± 62,bbghdy,https://pokemonshowdown.com/ladder/gen9ubers,
2031,rainbow_fool,1588,84.1%,1818 ± 54,rainbowfool,https://pokemonshowdown.com/ladder/gen9ubers,
2032,ReshiramEnthusiast,1586,85.3%,1832 ± 43,reshiramenthusiast,https://pokemonshowdown.com/ladder/gen9ubers,
2033,DarkmasterDX,1584,87.2%,1863 ± 41,darkmasterdx,https://pokemonshowdown.com/ladder/gen9ubers,
2034,kekkker,1584,83.1%,1801 ± 32,kekkker,https://pokemonshowdown.com/ladder/gen9ubers,
2035,Waterwater man,1583,83.9%,1814 ± 46,waterwaterman,https://pokemonshowdown.com/ladder/gen9ubers,
2036,ChilisGrillNBar,1582,82.6%,1797 ± 53,chilisgrillnbar,https://pokemonshowdown.com/ladder/gen9ubers,
2037,4125al41,1580,83.4%,1806 ± 41,4125al41,https://pokemonshowdown.com/ladder/gen9ubers,
2038,Unicorn of Yarra,1579,85.5%,1838 ± 54,unicornofyarra,https://pokemonshowdown.com/ladder/gen9ubers,
2039,Annoying name 827,1578,75.0%,1707 ± 35,annoyingname827,https://pokemonshowdown.com/ladder/gen9ubers,
2040,pdt,1573,86.5%,1854 ± 61,pdt,https://pokemonshowdown.com/ladder/gen9ubers,
2041,pinkfluffystar,1572,75.1%,1708 ± 30,pinkfluffystar,https://pokemonshowdown.com/ladder/gen9ubers,
2042,ohio demon,1566,82.1%,1789 ± 47,ohiodemon,https://pokemonshowdown.com/ladder/gen9ubers,
2043,NiPphotic观鸟者,1566,84.9%,1829 ± 52,nipphotic,https://pokemonshowdown.com/ladder/gen9ubers,
2044,cereal killing,1564,86.0%,1844 ± 36,cerealkilling,https://pokemonshowdown.com/ladder/gen9ubers,
2045,xxhcjc,1564,81.4%,1781 ± 52,xxhcjc,https://pokemonshowdown.com/ladder/gen9ubers,
2046,Asdf123user,1564,83.9%,1814 ± 56,asdf123user,https://pokemonshowdown.com/ladder/gen9ubers,
2047,QiYu1,1561,83.2%,1804 ± 50,qiyu1,https://pokemonshowdown.com/ladder/gen9ubers,
2048,UBMY ORSPD,1559,80.6%,1769 ± 38,ubmyorspd,https://pokemonshowdown.com/ladder/gen9ubers,
2049,QiYu9,1559,81.9%,1786 ± 45,qiyu9,https://pokemonshowdown.com/ladder/gen9ubers,
2050,Ash is trash,1558,77.5%,1735 ± 47,ashistrash,https://pokemonshowdown.com/ladder/gen9ubers,
2051,toraflora!,1557,78.3%,1743 ± 41,toraflora,https://pokemonshowdown.com/ladder/gen9ubers,
2052,baibaiats,1556,85.5%,1839 ± 57,baibaiats,https://pokemonshowdown.com/ladder/gen9ubers,
2053,Shadow1116,1555,81.1%,1776 ± 43,shadow1116,https://pokemonshowdown.com/ladder/gen9ubers,
2054,KING ATILLART,1555,84.9%,1829 ± 55,kingatillart,https://pokemonshowdown.com/ladder/gen9ubers,
2055,cxcould,1553,83.6%,1811 ± 64,cxcould,https://pokemonshowdown.com/ladder/gen9ubers,
2056,Floorfilla,1549,82.1%,1789 ± 49,floorfilla,https://pokemonshowdown.com/ladder/gen9ubers,
2057,un nouveau depart.,1549,86.6%,1857 ± 62,unnouveaudepart,https://pokemonshowdown.com/ladder/gen9ubers,
2058,Deg mah nuts,1548,81.8%,1786 ± 52,degmahnuts,https://pokemonshowdown.com/ladder/gen9ubers,
2059,JamaicanRillabeezy,1548,79.1%,1752 ± 44,jamaicanrillabeezy,https://pokemonshowdown.com/ladder/gen9ubers,
2060,UBMY ox04,1547,81.1%,1776 ± 52,ubmyox04,https://pokemonshowdown.com/ladder/gen9ubers,
2061,Lomiph,1547,90.9%,1936 ± 50,lomiph,https://pokemonshowdown.com/ladder/gen9ubers,
2062,lisa781,1547,84.9%,1830 ± 64,lisa781,https://pokemonshowdown.com/ladder/gen9ubers,
2063,Deadsh0t,1546,77.6%,1736 ± 43,deadsh0t,https://pokemonshowdown.com/ladder/gen9ubers,
2064,ubmyswag,1545,82.9%,1801 ± 60,ubmyswag,https://pokemonshowdown.com/ladder/gen9ubers,
2065,Hoennseptile,1545,79.3%,1755 ± 52,hoennseptile,https://pokemonshowdown.com/ladder/gen9ubers,
2066,ZevPokemon,1544,83.8%,1814 ± 62,zevpokemon,https://pokemonshowdown.com/ladder/gen9ubers,
2067,OddFuture2022,1543,74.9%,1706 ± 25,oddfuture2022,https://pokemonshowdown.com/ladder/gen9ubers,
2068,fatfighter2,1543,87.1%,1864 ± 56,fatfighter2,https://pokemonshowdown.com/ladder/gen9ubers,
2069,UBMY teqoufqouf,1543,88.6%,1893 ± 64,ubmyteqoufqouf,https://pokemonshowdown.com/ladder/gen9ubers,
2070,ICanBeModel,1543,85.0%,1832 ± 69,icanbemodel,https://pokemonshowdown.com/ladder/gen9ubers,
2071,atlas' burden,1542,83.1%,1803 ± 55,atlasburden,https://pokemonshowdown.com/ladder/gen9ubers,
2072,Sasha2808,1540,79.0%,1751 ± 48,sasha2808,https://pokemonshowdown.com/ladder/gen9ubers,
2073,UBMY ICVR,1539,82.4%,1794 ± 58,ubmyicvr,https://pokemonshowdown.com/ladder/gen9ubers,
2074,sdcdsdscsdcd,1539,88.7%,1896 ± 70,sdcdsdscsdcd,https://pokemonshowdown.com/ladder/gen9ubers,
2075,Bald ben,1538,85.5%,1839 ± 62,baldben,https://pokemonshowdown.com/ladder/gen9ubers,
2076,QueenValyrie,1538,78.4%,1745 ± 52,queenvalyrie,https://pokemonshowdown.com/ladder/gen9ubers,
2077,UBMY Fc,1538,88.2%,1886 ± 67,ubmyfc,https://pokemonshowdown.com/ladder/gen9ubers,
2078,michael213,1537,85.9%,1847 ± 70,michael213,https://pokemonshowdown.com/ladder/gen9ubers,
2079,StewieGriffinFG,1537,78.5%,1746 ± 44,stewiegriffinfg,https://pokemonshowdown.com/ladder/gen9ubers,
2080,Envymetta_TTV,1536,81.0%,1776 ± 52,envymettattv,https://pokemonshowdown.com/ladder/gen9ubers,
2081,gabrielxd1023,1535,75.7%,1716 ± 46,gabrielxd1023,https://pokemonshowdown.com/ladder/gen9ubers,
2082,R3d R4V3N,1535,81.7%,1786 ± 62,r3dr4v3n,https://pokemonshowdown.com/ladder/gen9ubers,
2083,UBMY 0-4,1534,80.3%,1767 ± 46,ubmy04,https://pokemonshowdown.com/ladder/gen9ubers,
2084,Reegychodon_64,1534,83.9%,1816 ± 69,reegychodon64,https://pokemonshowdown.com/ladder/gen9ubers,
2085,U0wOU,1534,84.5%,1825 ± 65,u0wou,https://pokemonshowdown.com/ladder/gen9ubers,
2086,4n4rchist,1534,83.2%,1806 ± 62,4n4rchist,https://pokemonshowdown.com/ladder/gen9ubers,
2087,AnonymousJon,1533,82.2%,1792 ± 66,anonymousjon,https://pokemonshowdown.com/ladder/gen9ubers,
2088,In The Afterlight,1533,84.2%,1820 ± 64,intheafterlight,https://pokemonshowdown.com/ladder/gen9ubers,
2089,Krokmouyoyo,1532,79.1%,1753 ± 52,krokmouyoyo,https://pokemonshowdown.com/ladder/gen9ubers,
2090,treasure coin,1532,90.0%,1925 ± 79,treasurecoin,https://pokemonshowdown.com/ladder/gen9ubers,
2091,UBMY starting,1532,82.5%,1795 ± 58,ubmystarting,https://pokemonshowdown.com/ladder/gen9ubers,
2092,WintyBird,1531,80.0%,1766 ± 68,wintybird,https://pokemonshowdown.com/ladder/gen9ubers,
2093,TIWWB,1531,90.8%,1942 ± 80,tiwwb,https://pokemonshowdown.com/ladder/gen9ubers,
2094,Clear Shallow,1531,78.9%,1751 ± 61,clearshallow,https://pokemonshowdown.com/ladder/gen9ubers,
2095,Poormot,1530,87.1%,1867 ± 71,poormot,https://pokemonshowdown.com/ladder/gen9ubers,
2096,Sizemann,1530,78.4%,1744 ± 52,sizemann,https://pokemonshowdown.com/ladder/gen9ubers,
2097,mistermarc,1530,81.7%,1784 ± 48,mistermarc,https://pokemonshowdown.com/ladder/gen9ubers,
2098,YesssSer,1530,80.1%,1766 ± 61,yesssser,https://pokemonshowdown.com/ladder/gen9ubers,
2099,Capital Case♥,1529,83.5%,1811 ± 67,capitalcase,https://pokemonshowdown.com/ladder/gen9ubers,
2100,usamo 2021,1529,77.7%,1736 ± 45,usamo2021,https://pokemonshowdown.com/ladder/gen9ubers,
2101,Fate's Crux,1529,84.2%,1820 ± 67,fatescrux,https://pokemonshowdown.com/ladder/gen9ubers,
2102,uwtt training arc,1528,90.5%,1933 ± 70,uwtttrainingarc,https://pokemonshowdown.com/ladder/gen9ubers,
2103,MeemMeyn,1528,79.4%,1755 ± 41,meemmeyn,https://pokemonshowdown.com/ladder/gen9ubers,
2104,Raph369,1528,82.7%,1797 ± 45,raph369,https://pokemonshowdown.com/ladder/gen9ubers,
2105,Skysolo ❤,1528,81.0%,1775 ± 44,skysolo,https://pokemonshowdown.com/ladder/gen9ubers,
2106,ALOS POTCHATCHO,1528,84.8%,1828 ± 56,alospotchatcho,https://pokemonshowdown.com/ladder/gen9ubers,
2107,user2304892,1528,80.8%,1773 ± 51,user2304892,https://pokemonshowdown.com/ladder/gen9ubers,
2108,New Magic Sun,1527,87.0%,1861 ± 53,newmagicsun,https://pokemonshowdown.com/ladder/gen9ubers,
2109,Yati426,1527,83.8%,1814 ± 62,yati426,https://pokemonshowdown.com/ladder/gen9ubers,
2110,UBMY we go next,1526,80.1%,1765 ± 54,ubmywegonext,https://pokemonshowdown.com/ladder/gen9ubers,
2111,Vukalo,1526,81.6%,1782 ± 47,vukalo,https://pokemonshowdown.com/ladder/gen9ubers,
2112,NY genshin,1525,81.4%,1781 ± 53,nygenshin,https://pokemonshowdown.com/ladder/gen9ubers,
2113,ubmy patate4k,1524,82.2%,1792 ± 59,ubmypatate4k,https://pokemonshowdown.com/ladder/gen9ubers,
2114,Tyrant's Scorn,1523,86.6%,1861 ± 80,tyrantsscorn,https://pokemonshowdown.com/ladder/gen9ubers,
2115,MRH1106,1522,81.6%,1781 ± 25,mrh1106,https://pokemonshowdown.com/ladder/gen9ubers,
2116,tnter,1522,82.4%,1794 ± 51,tnter,https://pokemonshowdown.com/ladder/gen9ubers,
2117,UBMY guy,1521,81.1%,1777 ± 54,ubmyguy,https://pokemonshowdown.com/ladder/gen9ubers,
2118,Luigi Laureato,1520,78.4%,1747 ± 63,luigilaureato,https://pokemonshowdown.com/ladder/gen9ubers,
2119,puissance du feu,1520,77.2%,1731 ± 29,puissancedufeu,https://pokemonshowdown.com/ladder/gen9ubers,
2120,bidoferz,1519,76.3%,1721 ± 40,bidoferz,https://pokemonshowdown.com/ladder/gen9ubers,
2121,Zionw23,1518,82.6%,1793 ± 26,zionw23,https://pokemonshowdown.com/ladder/gen9ubers,
2122,u$hi the gamer,1518,77.2%,1732 ± 55,uhithegamer,https://pokemonshowdown.com/ladder/gen9ubers,
2123,UBMY kingler,1518,80.0%,1762 ± 42,ubmykingler,https://pokemonshowdown.com/ladder/gen9ubers,
2124,BTLT001 Q,1517,82.4%,1796 ± 66,btlt001q,https://pokemonshowdown.com/ladder/gen9ubers,
2125,trippinglightly,1517,82.5%,1797 ± 64,trippinglightly,https://pokemonshowdown.com/ladder/gen9ubers,
2126,reda-DRK,1517,79.5%,1758 ± 50,redadrk,https://pokemonshowdown.com/ladder/gen9ubers,
2127,foolek2300,1517,78.1%,1743 ± 65,foolek2300,https://pokemonshowdown.com/ladder/gen9ubers,
2128,Chui innocent,1516,79.0%,1753 ± 63,chuiinnocent,https://pokemonshowdown.com/ladder/gen9ubers,
2129,Captain25,1516,80.7%,1773 ± 58,captain25,https://pokemonshowdown.com/ladder/gen9ubers,
2130,mais qui voila-je,1515,79.3%,1757 ± 59,maisquivoilaje,https://pokemonshowdown.com/ladder/gen9ubers,
2131,yiyue,1515,79.2%,1754 ± 50,yiyue,https://pokemonshowdown.com/ladder/gen9ubers,
2132,shams713,1515,81.7%,1784 ± 53,shams713,https://pokemonshowdown.com/ladder/gen9ubers,
2133,M3nphiz♦♣,1514,86.6%,1859 ± 74,m3nphiz,https://pokemonshowdown.com/ladder/gen9ubers,
2134,Main Ubers,1514,83.1%,1805 ± 67,mainubers,https://pokemonshowdown.com/ladder/gen9ubers,
2135,mrdarkcyber,1514,81.9%,1786 ± 36,mrdarkcyber,https://pokemonshowdown.com/ladder/gen9ubers,
2136,Kyrah,1514,83.9%,1816 ± 68,kyrah,https://pokemonshowdown.com/ladder/gen9ubers,
2137,UBMY Moody,1514,82.8%,1800 ± 61,ubmymoody,https://pokemonshowdown.com/ladder/gen9ubers,
2138,thenanjoker,1513,86.5%,1857 ± 76,thenanjoker,https://pokemonshowdown.com/ladder/gen9ubers,
2139,Miss. Cyrena_Bell❣,1513,85.9%,1845 ± 58,misscyrenabell,https://pokemonshowdown.com/ladder/gen9ubers,
2140,Vikias007,1513,69.0%,1653 ± 62,vikias007,https://pokemonshowdown.com/ladder/gen9ubers,
2141,Bunrphenix,1513,77.5%,1736 ± 67,bunrphenix,https://pokemonshowdown.com/ladder/gen9ubers,
2142,p‽apapole,1513,85.2%,1837 ± 72,papapole,https://pokemonshowdown.com/ladder/gen9ubers,
2143,Emosmatla,1513,81.8%,1788 ± 64,emosmatla,https://pokemonshowdown.com/ladder/gen9ubers,
2144,UBMY BF8,1512,83.7%,1812 ± 61,ubmybf8,https://pokemonshowdown.com/ladder/gen9ubers,
2145,Ser. Lancasther♥,1512,85.9%,1847 ± 73,serlancasther,https://pokemonshowdown.com/ladder/gen9ubers,
2146,Monai,1512,84.5%,1821 ± 45,monai,https://pokemonshowdown.com/ladder/gen9ubers,
2147,ubmykumak,1511,87.4%,1870 ± 64,ubmykumak,https://pokemonshowdown.com/ladder/gen9ubers,
2148,UBMY chai nerd2,1510,80.3%,1768 ± 56,ubmychainerd2,https://pokemonshowdown.com/ladder/gen9ubers,
2149,Morgremlin,1510,74.9%,1707 ± 46,morgremlin,https://pokemonshowdown.com/ladder/gen9ubers,
2150,PekPicPek,1510,78.8%,1751 ± 60,pekpicpek,https://pokemonshowdown.com/ladder/gen9ubers,
2151,Mangunasia,1509,81.5%,1785 ± 74,mangunasia,https://pokemonshowdown.com/ladder/gen9ubers,
2152,easy thrills,1509,80.9%,1775 ± 56,easythrills,https://pokemonshowdown.com/ladder/gen9ubers,
2153,herpderpwat,1509,82.2%,1793 ± 65,herpderpwat,https://pokemonshowdown.com/ladder/gen9ubers,
2154,gengaster,1508,86.4%,1855 ± 72,gengaster,https://pokemonshowdown.com/ladder/gen9ubers,
2155,UBMY gonnadie,1508,82.4%,1795 ± 62,ubmygonnadie,https://pokemonshowdown.com/ladder/gen9ubers,
2156,Bladefade,1508,73.5%,1692 ± 25,bladefade,https://pokemonshowdown.com/ladder/gen9ubers,
2157,les roquettes,1507,85.8%,1845 ± 70,lesroquettes,https://pokemonshowdown.com/ladder/gen9ubers,
2158,UBMY MELINDA,1507,80.2%,1766 ± 53,ubmymelinda,https://pokemonshowdown.com/ladder/gen9ubers,
2159,UBMY YawnDeprived,1507,82.1%,1791 ± 61,ubmyyawndeprived,https://pokemonshowdown.com/ladder/gen9ubers,
2160,BTLT001 nike,1507,86.5%,1856 ± 73,btlt001nike,https://pokemonshowdown.com/ladder/gen9ubers,
2161,ubmy riri,1507,84.3%,1821 ± 66,ubmyriri,https://pokemonshowdown.com/ladder/gen9ubers,
2162,venwk,1507,82.9%,1802 ± 66,venwk,https://pokemonshowdown.com/ladder/gen9ubers,
2163,GEDO RINNE TENSEI,1506,74.6%,1703 ± 40,gedorinnetensei,https://pokemonshowdown.com/ladder/gen9ubers,
2164,lambiskooo,1506,80.0%,1764 ± 57,lambiskooo,https://pokemonshowdown.com/ladder/gen9ubers,
